"entropy","genre"
0.119565171449906,"etude"
0.217559862880707,"etude"
0.195072627601963,"etude"
0.192965348299846,"etude"
0.499472849766806,"etude"
0.317158953338018,"etude"
0.629379309771703,"etude"
0.587230245955736,"etude"
0.509097560558702,"etude"
0.225650216294233,"etude"
0.435356769711126,"etude"
0.417312643782489,"etude"
0.310942650555602,"etude"
0.247925401467588,"etude"
0.373240324293545,"prelude"
0.443599713289573,"prelude"
0.409617288377229,"prelude"
0.151092158557269,"prelude"
0.480745843146581,"prelude"
0.331493632205316,"prelude"
0.477214203066563,"prelude"
0.287676852789216,"prelude"
0.490750094154597,"prelude"
0.18212629200575,"prelude"
0.357574364720179,"prelude"
0.325282351641967,"prelude"
0.0482742246794725,"prelude"
0.258476770555006,"fugue"
0.544129051883508,"fugue"
0.524268966327954,"fugue"
0.472770064305183,"fugue"
0.3315480091898,"fugue"
0.486601621054116,"fugue"
0.449991851076426,"fugue"
0.376526614172487,"fugue"
0.540737496455972,"fugue"
0.362794213844118,"fugue"
0.43060370464792,"fugue"
0.3484698113335,"fugue"
0.50941907345345,"fugue"
0.439329579541356,"fugue"
0.285338001451548,"ragtime"
0.562958209732082,"ragtime"
0.365092444459092,"ragtime"
0.339247988426136,"ragtime"
0.368304093713441,"ragtime"
0.378318637418221,"ragtime"
0.457852956850265,"ragtime"
0.422254950043573,"ragtime"
0.380398871010757,"ragtime"
0.422364518909506,"ragtime"
0.543307334175013,"ragtime"
0.287825618304035,"ragtime"
0.411616242178017,"ragtime"
0.37008271314045,"ragtime"
0.381375636361461,"ragtime"
0.092563768587865,"waltz"
0.471027873624993,"waltz"
0.187991485772655,"waltz"
0.236379105059433,"waltz"
0.334189280126539,"waltz"
0.146940195867743,"waltz"
0.303332056081598,"waltz"
0.562958209732082,"waltz"
0.37205599653905,"waltz"
0.380398871010757,"waltz"
