"rhythm","genre"
"16","etude"
"16","etude"
"8","etude"
"16","etude"
"16","etude"
"8","etude"
"8","etude"
"8","etude"
"8","etude"
"16","prelude"
"8","prelude"
"16","prelude"
"16","prelude"
"16","prelude"
"16","prelude"
"2","prelude"
"8","prelude"
"16","prelude"
"8","prelude"
"16","prelude"
"16","fugue"
"4","fugue"
"16","fugue"
"16","fugue"
"16","fugue"
"8","fugue"
"16","fugue"
"8","fugue"
"32","fugue"
"16","fugue"
"8","fugue"
"16","fugue"
"16","fugue"
"16","fugue"
"8","ragtime"
"4","ragtime"
"8","ragtime"
"8","ragtime"
"16","ragtime"
"8","ragtime"
"16","ragtime"
"16","ragtime"
"4","ragtime"
"16","ragtime"
"16","ragtime"
"8","ragtime"
"8","ragtime"
"8","ragtime"
"16","ragtime"
"4","waltz"
"4","waltz"
"4","waltz"
"4","waltz"
"4","waltz"
"4","waltz"
"4","waltz"
"4","waltz"
"4","waltz"
"4","waltz"
